秀美人生,上映16天,1046.5万,41.72
萌宠流浪记,上映4天,657.8万,17.20
邻里美好的一天,上映4天,157.9万,13.88
1/2的魔法,上映34天,6615.8万,11.53
半条棉被,上映18天,269.3万,11.40
通往春天的列车,上映5天,291.2万,11.35
无“疯”也起浪,上映25天,123.3万,9.24
阿里巴巴与神灯,上映17天,1735.7万,8.45
小妇人,上映28天,4682.2万,7.77
误杀,,13.32亿,7.74
假面饭店,上映18天,1655.1万,6.91
大闹天宫（京剧）,上映4天,24.9万,3.99
盗梦空间,,4.95亿,3.68
北平会馆,上映33天,788.1万,3.30
辉夜大小姐想让我告白,上映11天,382.8万,2.80
哈利·波特与魔法石,,2.47亿,2.43
坚守1200秒,上映5天,9.8万,1.99
星际穿越,,8.76亿,1.93
漫长的告别,上映25天,87.7万,1.92
难忘的岁月,展映,26.9万,1.90
梅艳芳菲,上映28天,90.8万,1.77
天池水怪,,40.1万,1.17
港珠澳大桥,,828.0万,1.06
八佰,上映31天,28.80亿,4021.40
花木兰,上映10天,2.47亿,1497.91
信条,上映17天,4.15亿,1364.34
死无对证,上映3天,1751.5万,602.05
麦路人,上映4天,1190.0万,307.97
萌宠流浪记,上映3天,640.6万,300.94
1/2的魔法,上映33天,6604.3万,191.44
我在时间尽头等你,上映27天,5.00亿,145.12
蓝色防线,上映3天,488.1万,101.62
邻里美好的一天,上映3天,144.0万,37.81
通往春天的列车,上映4天,279.9万,32.32
秀美人生,上映15天,1004.8万,28.99
小妇人,上映27天,4674.4万,26.54
假面饭店,上映17天,1648.2万,23.33
阿里巴巴与神灯,上映16天,1727.3万,23.24
哈利·波特与魔法石,,2.47亿,14.28
辉夜大小姐想让我告白,上映10天,380.0万,11.42
新愚公移山,上映11天,179.0万,8.49
盗梦空间,,4.95亿,8.23
北平会馆,上映32天,784.8万,6.39
误杀,,13.31亿,6.28
半条棉被,上映17天,257.9万,6.26
大闹天宫（京剧）,上映3天,20.9万,5.78
梅艳芳菲,上映27天,89.0万,4.40
攀登者,,10.98亿,3.50
港珠澳大桥,,826.9万,3.12
极限父子,上映41天,44.0万,3.08
魔发精灵2,上映31天,685.2万,2.81
无“疯”也起浪,上映24天,114.1万,2.72
雪人奇缘,,1.45亿,2.61
星际穿越,,8.76亿,2.55
大河向东流之沁源故事,上映24天,21.0万,2.05
极寒风暴,上映10天,78.3万,1.78
有钱特烦恼,上映38天,24.0万,1.65
天池水怪,,38.9万,1.42
难忘的岁月,展映,25.0万,1.19
秃涂陌路,上映38天,25.8万,1.09
未知嫌疑人,上映11天,133.9万,1.08
八佰,上映30天,28.40亿,4776.13
花木兰,上映9天,2.32亿,1912.92
信条,上映16天,4.01亿,1696.07
死无对证,上映2天,1149.5万,701.29
麦路人,上映3天,882.0万,373.95
萌宠流浪记,上映2天,339.6万,286.44
1/2的魔法,上映32天,6412.8万,164.95
我在时间尽头等你,上映26天,4.99亿,157.60
蓝色防线,上映2天,386.5万,117.98
通往春天的列车,上映3天,247.6万,53.43
邻里美好的一天,上映2天,106.2万,44.49
秀美人生,上映14天,975.8万,39.76
小妇人,上映26天,4647.9万,29.47
假面饭店,上映16天,1624.9万,26.21
阿里巴巴与神灯,上映15天,1704.0万,21.73
哈利·波特与魔法石,,2.47亿,15.08
辉夜大小姐想让我告白,上映9天,368.6万,15.01
小公主艾薇拉与神秘王国2,上映29天,509.6万,13.91
盗梦空间,,4.95亿,10.47
北平会馆,上映31天,778.4万,9.16
误杀,,13.31亿,8.85
新愚公移山,上映10天,170.5万,7.74
大闹天宫（京剧）,上映2天,15.1万,6.10
半条棉被,上映16天,251.6万,5.79
港珠澳大桥,,823.8万,5.74
梅艳芳菲,上映26天,84.6万,4.98
攀登者,,10.98亿,4.77
极限父子,上映40天,40.9万,2.94
魔发精灵2,上映30天,682.4万,2.93
秃涂陌路,上映37天,24.7万,2.57
星际穿越,,8.76亿,2.57
大河向东流之沁源故事,上映23天,18.9万,2.50
有钱特烦恼,上映37天,22.4万,2.46
活着唱着,上映23天,44.7万,2.38
无“疯”也起浪,上映23天,111.4万,2.17
天池水怪,,37.5万,2.09
雪人奇缘,,1.45亿,2.07
极寒风暴,上映9天,76.5万,1.59
难忘的岁月,展映,23.8万,1.43
半条被子,上映15天,29.7万,1.30
八佰,上映29天,27.92亿,3289.77
花木兰,上映8天,2.12亿,990.84
信条,上映15天,3.84亿,742.97
死无对证,上映首日,448.2万,418.83
麦路人,上映2天,508.0万,310.77
蓝色防线,上映首日,268.5万,110.58
秀美人生,上映13天,936.0万,105.56
通往春天的列车,上映2天,194.1万,72.27
我在时间尽头等你,上映25天,4.97亿,66.19
邻里美好的一天,上映首日,61.7万,61.76
萌宠流浪记,上映首日,53.2万,53.21
半条棉被,上映15天,245.8万,33.93
小公主艾薇拉与神秘王国2,上映28天,495.7万,21.64
1/2的魔法,上映31天,6247.9万,14.35
阿里巴巴与神灯,上映14天,1682.3万,10.02
大闹天宫（京剧）,上映首日,9.0万,8.34
小妇人,上映25天,4618.4万,7.82
假面饭店,上映15天,1598.7万,7.46
误杀,,13.31亿,6.05
坚守1200秒,上映2天,6.9万,5.39
北平会馆,上映30天,769.2万,4.80
盗梦空间,,4.95亿,4.66
半条被子,上映14天,28.4万,4.07
辉夜大小姐想让我告白,上映8天,353.6万,3.82
港珠澳大桥,,818.0万,2.90
攀登者,,10.97亿,2.53
梅艳芳菲,上映25天,79.6万,2.48
无“疯”也起浪,上映22天,109.2万,2.46
新愚公移山,上映9天,162.8万,2.18
关机,上映7天,21.7万,2.01
雪人奇缘,,1.45亿,1.47
漫长的告别,上映22天,85.5万,1.39
催眠大师,,2.73亿,1.37
哈利·波特与魔法石,,2.47亿,1.23
电力之战,上映22天,510.2万,1.12
极限父子,上映39天,38.0万,1.09
大河向东流之沁源故事,上映22天,16.4万,1.05
天池水怪,,35.4万,1.04
难忘的岁月,展映,22.4万,1.03
信念一生,上映31天,319.1万,1.01
八佰,上映28天,27.59亿,2358.70
花木兰,上映7天,2.03亿,795.26
信条,上映14天,3.77亿,545.57
我的女友是机器人,上映7天,4257.2万,232.67
麦路人,上映首日,197.2万,190.38
通往春天的列车,上映首日,121.9万,121.87
秀美人生,上映12天,830.4万,72.67
我在时间尽头等你,上映24天,4.97亿,67.66
蓝色防线,零点场,157.9万,23.37
半条棉被,上映14天,211.9万,22.91
小公主艾薇拉与神秘王国2,上映27天,474.0万,19.40
假面饭店,上映14天,1591.2万,11.60
1/2的魔法,上映30天,6233.5万,11.29
小妇人,上映24天,4610.6万,10.30
阿里巴巴与神灯,上映13天,1672.3万,10.17
无“疯”也起浪,上映21天,106.7万,8.80
辉夜大小姐想让我告白,上映7天,349.8万,8.41
误杀,,13.31亿,6.62
盗梦空间,,4.95亿,4.89
北平会馆,上映29天,764.4万,4.62
半条被子,上映13天,24.3万,2.76
哈利·波特与魔法石,,2.47亿,2.63
未知嫌疑人,上映8天,131.5万,2.60
极寒风暴,上映7天,74.0万,2.53
梅艳芳菲,上映24天,77.1万,2.29
信念一生,上映30天,318.1万,2.00
电力之战,上映21天,509.1万,1.83
新愚公移山,上映8天,160.6万,1.79
攀登者,,10.97亿,1.61
坚守1200秒,上映首日,1.5万,1.54
港珠澳大桥,,815.1万,1.37
极限父子,上映38天,36.9万,1.27
天池水怪,,34.3万,1.12
八佰,上映27天,27.35亿,2376.34
花木兰,上映6天,1.95亿,977.45
信条,上映13天,3.71亿,646.86
我的女友是机器人,上映6天,4024.6万,349.71
我在时间尽头等你,上映23天,4.96亿,94.44
秀美人生,上映11天,757.8万,55.19
蓝色防线,点映,134.6万,26.12
小公主艾薇拉与神秘王国2,上映26天,454.6万,19.40
半条棉被,上映13天,189.0万,17.19
辉夜大小姐想让我告白,上映6天,341.4万,17.15
1/2的魔法,上映29天,6222.2万,16.88
假面饭店,上映13天,1579.6万,16.41
小妇人,上映23天,4600.3万,15.07
阿里巴巴与神灯,上映12天,1662.1万,12.69
无“疯”也起浪,上映20天,97.9万,7.39
北平会馆,上映28天,759.8万,5.96
盗梦空间,,4.95亿,5.75
未知嫌疑人,上映7天,128.9万,5.41
误杀,,13.31亿,5.12
哈利·波特与魔法石,,2.47亿,5.06
极寒风暴,上映6天,71.5万,4.30
梅艳芳菲,上映23天,74.8万,2.66
电力之战,上映20天,507.3万,2.47
攀登者,,10.97亿,1.96
绝地战警：疾速追击,上映34天,3512.6万,1.31
港珠澳大桥,,813.8万,1.19
八佰,上映26天,27.12亿,2471.66
花木兰,上映5天,1.85亿,1169.89
信条,上映12天,3.65亿,710.66
我的女友是机器人,上映5天,3674.8万,376.03
我在时间尽头等你,上映22天,4.95亿,96.77
蓝色防线,点映,108.4万,79.35
秀美人生,上映10天,702.6万,53.09
辉夜大小姐想让我告白,上映5天,324.2万,21.88
1/2的魔法,上映28天,6205.4万,20.20
小公主艾薇拉与神秘王国2,上映25天,435.2万,19.40
假面饭店,上映12天,1563.2万,17.94
小妇人,上映22天,4585.2万,15.81
半条棉被,上映12天,171.8万,13.32
阿里巴巴与神灯,上映11天,1649.4万,12.94
误杀,,13.31亿,6.74
无“疯”也起浪,上映19天,90.5万,6.45
未知嫌疑人,上映6天,123.4万,6.36
北平会馆,上映27天,753.8万,6.32
一辈子的姐弟,,40.9万,5.71
盗梦空间,,4.95亿,5.68
极寒风暴,上映5天,67.2万,4.54
哈利·波特与魔法石,,2.47亿,3.41
梅艳芳菲,上映22天,72.1万,3.25
港珠澳大桥,,812.6万,1.93
攀登者,,10.97亿,1.78
极限父子,上映36天,35.2万,1.50
新愚公移山,上映6天,157.9万,1.40
绝地战警：疾速追击,上映33天,3511.3万,1.24
电力之战,上映19天,504.8万,1.18
半条被子,上映11天,20.7万,1.18
关机,上映4天,18.4万,1.14
难忘的岁月,展映,20.1万,1.12
天池水怪,,32.5万,1.06
有钱特烦恼,上映33天,17.9万,1.00
八佰,上映25天,26.87亿,2493.14
花木兰,上映4天,1.73亿,1430.92
信条,上映11天,3.57亿,797.04
我的女友是机器人,上映4天,3298.8万,399.84
我在时间尽头等你,上映21天,4.94亿,101.27
秀美人生,上映9天,649.5万,39.27
辉夜大小姐想让我告白,上映4天,302.3万,29.93
1/2的魔法,上映27天,6185.1万,27.54
小公主艾薇拉与神秘王国2,上映24天,415.8万,19.40
假面饭店,上映11天,1545.2万,18.93
小妇人,上映21天,4569.4万,17.06
阿里巴巴与神灯,上映10天,1636.4万,14.85
未知嫌疑人,上映5天,117.1万,7.19
半条棉被,上映11天,158.4万,7.02
极寒风暴,上映4天,62.6万,5.79
盗梦空间,,4.95亿,5.74
无“疯”也起浪,上映18天,84.1万,5.64
北平会馆,上映26天,747.5万,5.43
误杀,,13.31亿,5.02
哈利·波特与魔法石,,2.47亿,4.59
梅艳芳菲,上映21天,68.9万,3.62
电力之战,上映18天,503.6万,3.16
蓝色防线,点映,29.1万,2.47
攀登者,,10.97亿,2.19
新愚公移山,上映5天,156.5万,1.89
极限父子,上映35天,33.7万,1.82
港珠澳大桥,,810.6万,1.76
一辈子的姐弟,,35.2万,1.42
1917,上映39天,6900.3万,1.31
天池水怪,,31.5万,1.14
有钱特烦恼,上映32天,16.9万,1.00
八佰,上映24天,26.62亿,4904.78
花木兰,上映3天,1.59亿,4148.80
信条,上映10天,3.50亿,2516.02
我的女友是机器人,上映3天,2899.0万,730.53
1/2的魔法,上映26天,6157.6万,356.30
我在时间尽头等你,上映20天,4.93亿,177.97
阿里巴巴与神灯,上映9天,1621.6万,91.93
辉夜大小姐想让我告白,上映3天,272.4万,88.04
假面饭店,上映10天,1526.3万,49.77
小妇人,上映20天,4552.3万,48.72
新愚公移山,上映4天,154.6万,41.58
哈利·波特与魔法石,,2.47亿,27.13
秀美人生,上映8天,610.2万,17.05
蓝色防线,点映,26.6万,15.76
未知嫌疑人,上映4天,109.9万,14.32
极寒风暴,上映3天,56.8万,13.40
盗梦空间,,4.95亿,11.41
小公主艾薇拉与神秘王国2,上映23天,396.4万,11.20
误杀,,13.31亿,10.48
死无对证,点映,28.8万,9.55
梅艳芳菲,上映20天,65.3万,9.41
魔发精灵2,上映24天,678.7万,7.12
北平会馆,上映25天,742.1万,6.48
港珠澳大桥,,808.9万,5.89
关机,上映2天,17.2万,5.84
半条棉被,上映10天,151.4万,5.84
极限父子,上映34天,31.9万,5.72
雪人奇缘,,1.45亿,5.34
麦路人,点映,6.9万,5.22
1917,上映38天,6899.0万,2.95
电力之战,上映17天,500.4万,2.91
有钱特烦恼,上映31天,15.9万,2.85
大河向东流之沁源故事,上映17天,12.6万,2.84
天下无毒,上映31天,61.8万,2.77
天池水怪,,30.3万,2.73
星际穿越,,8.76亿,2.41
难忘的岁月,展映,18.1万,1.81
一辈子的姐弟,,33.8万,1.75
秃涂陌路,上映31天,17.5万,1.53
荞麦疯长,上映20天,5213.3万,1.23
城市梦,上映17天,229.0万,1.14
花木兰,上映2天,1.17亿,6209.66
